content,type
"I wandered lonely as a cloud
That floats on high o'er vales and hills,
When all at once I saw a crowd,
A host, of golden daffodils;
Beside the lake, beneath the trees,
Fluttering and dancing in the breeze.

Continuous as the stars that shine
And twinkle on the milky way,
They stretched in never-ending line
Along the margin of a bay:
Ten thousand saw I at a glance,
Tossing their heads in sprightly dance.

The waves beside them danced; but they
Out-did the sparkling waves in glee:
A poet could not but be gay,
In such a jocund company:
I gazedâ€”and gazedâ€”but little thought
What wealth the show to me had brought:

For oft, when on my couch I lie
In vacant or in pensive mood,
They flash upon that inward eye
Which is the bliss of solitude;
And then my heart with pleasure fills,
And dances with the daffodils. ",Nature
"I thought of you so much today
I went to God in prayer.
To ask Him to watch over you
and show you that I care.

My prayer for you was not for rewards
ones that you can touch or feel.
But true rewards for happiness
that are so very real.",Religion
"The harp at Nature's advent strung
Has never ceased to play;
The song the stars of morning sung
Has never died away.

And prayer is made, and praise is given,
By all things near and far;
The ocean looketh up to heaven,
And mirrors every star.

Its waves are kneeling on the strand,
As kneels the human knee,
Their white locks bowing to the sand,
The priesthood of the sea!

They pour their glittering treasures forth,
Their gifts of pearl they bring,
And all the listening hills of earth
Take up the song they sing.

The green earth sends its incense up
From many a mountain shrine;
From folded leaf and dewy cup
She pours her sacred wine.

The mists above the morning rills
Rise white as wings of prayer;
The altar-curtains of the hills
Are sunset's purple air.

The winds with hymns of praise are loud,
Or low with sobs of pain, --
The thunder-organ of the cloud,
The dropping tears of rain.",Nature
"From east to west from north to south
Let all creation find
That truth is always in our mouth
And peace is on our mind



Let’s live our lives to others now
Let’s touch The Father’s heart
To Jesus let our knees but bow
From evil take no part


Until the world’s is Satan free
Till Jesus reigns supreme
Let’s help our blinded neighbours see
That life is not a dream


Let empathy become our creed
Compassion wear a crown
Plant in the world a thoughtful seed
Bedecked with selfless gown",Love
"Well, honey it is January
And soon it will be February
I know what it reminds me
To remember you in Valentine's Day
And I know what is that day for
And I know what it is for
The love of love for all love
The love of love for sweetheart of
But we been sweetheart since then
My love for you ain't been forgotten
Though we have this strands of silver hair
Valentine's Day is nothing for me as I always care
And my love is always fresh like the morning
With our love still blending and refreshing
And refreshes my mind everyday
Not only on Valentine's Day ",Love
"Near the path through the woods I’ve seen it:
a trail of white candles.

I could find it again, I could follow
its light deep into shadows.

Didn’t I stand there once? 
Didn’t I choose to go back

down the cleared path, the familiar?
Narcissus, you said. Wasn’t this

the flower whose sudden enchantments
led Persephone down into Hades?

You remember the way she was changed
when she came every spring, having seen

the withering branches, the chasms,
and how she had to return there

helplessly, having eaten
the seed of desire. What was it

I saw you were offering me
without meaning to, there in the sunlight,

while the flowers beckoned and shone
in their flickering season?",Mythology
"When you come to me, unbidden,
Beckoning me
To long-ago rooms,
Where memories lie.

Offering me, as to a child, an attic,
Gatherings of days too few.
Baubles of stolen kisses.
Trinkets of borrowed loves.
Trunks of secret words,

I CRY.",Love
"Listen little children and lent an ear
The Lord is with you and ever so near
He is watching you from Heaven above
And His gift to you is everlasting love

It doesn't matter who you are
Or what you look like or what you do
You are God's beautiful little flowers
Budding and blooming, sweet and true",Religion
"Bright star, would I were stedfast as thou art—
Not in lone splendour hung aloft the night
And watching, with eternal lids apart,
Like nature’s patient, sleepless Eremite,
The moving waters at their priestlike task
Of pure ablution round earth’s human shores,
Or gazing on the new soft-fallen mask
Of snow upon the mountains and the moors—
No—yet still stedfast, still unchangeable,
Pillow’d upon my fair love’s ripening breast,
To feel for ever its soft fall and swell,
Awake for ever in a sweet unrest,
Still, still to hear her tender-taken breath,
And so live ever—or else swoon to death.

",Love
"Cythera saw Adonis
And knew that he was dead;
She marked the brow, all grisly now,
The cheek no longer red;
And ""Bring the boar before me""
Unto her Loves she said.
 
Forthwith her winged attendants
Ranged all the woodland o'er,
And found and bound in fetters
Threefold the grisly boar:
One dragged him at a rope's end
E'en as a vanquished foe;
One went behind and drave him
And smote him with his bow:
On paced the creature feebly;
He feared Cythera so.
 
To him said Aphrodite:
""So, worst of beasts, 'twas you
Who rent that thigh asunder,
Who him that loved me slew?""
And thus the beast made answer:
""Cythera, hear me swear
By thee, by him that loved thee,
And by these bonds I wear,
And them before whose hounds I ran--
I meant no mischief to the man
Who seemed to thee so fair.",Mythology
"My love, your love, his love, and our love
Are all different from each other
Let me tell you about my love first
My love is very weak
Like the baby
That had just been born
Today
Your love
Is very strong
Like the thunder
That is going on in the sky
Right now
His love
Is very special
Because he is giving
It to us right now",Love
"What forest is there to run to,
other than the one within another’s heart?

What appears to be deeply rooted 
is half dead         drowning
            and sucking at the sun.
I hate to say this 
but what is stable
can be easily disrupted,
and what is easily disrupted
can cloud       even        the clearest of days.

This is what I have come to know 
after being turned on,
             turned over,
                             and turned round.
I want to spark the heat of this body with the heart, with 
the heart of the heart, with the heart of the heart of this 
body, with the whole body of the heart, and then I want to 
slow it down and tinker with it. I want to slow it all the way 
downdowndown to a gentle timber,or fall.
To pioneer is to take part in the beginnings of something.

Come, Pioneer.
I am tired of shepherding this heart. Help 
me to believe. Come.
I am near willing to give it up and over. Come,
before I bury it all under.",Nature
"I, at Eleusis, saw the finest sight,
When early morning's banners were unfurled.
From high Olumpus, gazing on the world,
The ancient gods once saw it with delight.
Sad Demeter had in a single night
Removed her sombre garments! and mine eyes
Beheld a 'broidered mantle in pale dyes
Thrown o'er her throbbing bosom. Sweet and clear
There fell the sound of music on mine ear.
And from the South came Hermes, he whose lyre
One time appeased the great Apollo's ire.
The rescued maid, Persephone, by the hand,
He led to waiting Demeter, and cheer
And light and beauty once more blessed the land. ",Mythology
